题目,答案
"介词 between 和 among 在使用上有什么区别？","between用于两者之间，among用于三者或三者以上之中。"
"介词 across 和 through 在表示“穿过”时有什么区别？","across指从表面横穿（如街道、河流），through指从内部穿过（如森林、隧道）。"
"表示“在...正上方”且有接触时用on，悬空的正上方用_____，泛指的上方用_____。","over, above。"
"表示“用某种语言或声音”时，应用哪个方式介词？","in。例如：in English, in a loud voice。"
"表示“乘坐某种交通工具”时，应用哪个方式介词？","by。例如：by bus。"
"表示“使用某种工具或身体器官”时，应用哪个方式介词？","with。例如：write with a pen。"
"人称代词I的主格、宾格、形容词性物主代词和名词性物主代词分别是什么？","I, me, my, mine。"
"人称代词he的主格、宾格、形容词性物主代词和名词性物主代词分别是什么？","he, him, his, his。"
"名词性物主代词的作用相当于“_____ + 名词”。","形容词性物主代词"
"短语 by oneself 的含义是什么？","单独地；独自地。"
"不定代词some和any在用法上的主要区别是什么？","some通常用于肯定句和表示请求的疑问句中，any通常用于否定句和一般疑问句中。"
"few和a few的区别是什么？","两者都修饰可数名词复数。few表示“几乎没有”（否定含义），a few表示“有一些”（肯定含义）。"
"little和a little的区别是什么？","两者都修饰不可数名词。little表示“几乎没有”（否定含义），a little表示“有一点”（肯定含义）。"
"both, neither, either 分别用于指代几个人或物？","两者。"
"all, none, any 分别用于指代几个人或物？","三者及以上。"
"由some-, any-, no-, every-构成的复合不定代词作主语时，谓语动词用什么形式？","第三人称单数形式。"
"修饰复合不定代词的形容词应放在其前面还是后面？","后面。例如：something interesting。"
"用作表语的形容词通常跟在哪些动词后面？","系动词后面，如be, seem, look, feel, taste, become等。"
"疑问副词how long, how soon, how often, how far分别对什么提问？","how long对时间段提问；how soon对“多久以后”提问；how often对频率提问；how far对距离提问。"
"多音节形容词和双音节以上副词的比较级和最高级如何构成？","在原级前加 more 构成比较级，加 the most 构成最高级。"
"写出 good/well 的比较级和最高级。","better, best。"
"写出 bad/badly/ill 的比较级和最高级。","worse, worst。"
"写出 many/much 的比较级和最高级。","more, most。"
"句型 “as + 形容词/副词原级 + as” 表示什么意思？","“和……一样……”。"
"句型 “the + 比较级, the + 比较级” 表示什么意思？","“越……，越……”。"
"哪些词可以用来修饰比较级，表示“……得多”或“甚至”？","much, a lot, far, even, still, a bit, a little。"
"句型“one of the + 最高级 + _____”表示“最……之一”。","名词复数"
"表示“能力”时，can/could do sth. 相当于哪个词组？","be able to do sth."
"对 “Must I...?” 提出的请求，否定回答应该用什么？","No, you needn't. / No, you don't have to."
"表示“禁止”时，应该用哪个情态动词？","mustn't。"
"表示肯定推测时，可能性由大到小的情态动词排序是什么？","must > can > could > may > might。"
"表示“不可能”的否定推测时，通常用哪个情态动词？","can't。"
"一般现在时常与哪些表示频率的时间状语连用？","always, usually, often, sometimes, every day/week等。"
"一般过去时的标志性时间状语有哪些？（举出三个）","yesterday, last week, ...ago, just now。"
"一般将来时的两种基本结构是什么？","will do 和 be going to do。"
"现在进行时的构成是什么？","am/is/are + doing (动词-ing形式)。"
"过去进行时的标志性时间状语是什么？","at that time, at 7 last night, while/when引导的从句等。"
"现在完成时的构成是什么？","have/has + done (动词过去分词)。"
"现在完成时常与哪些时间状语连用？（举出三个）","already, yet, just, for..., since..., so far。"
"过去完成时（had done）描述的是发生在“_____的过去”的动作。","过去"
"被动语态的基本结构是什么？","be + done (动词过去分词)。"
"情态动词的被动语态结构是什么？","情态动词 + be + done。"
"“由...制成”且看不出原材料时，用be made _____。","from"
"“充满...”可以用be filled with，也可以用be _____ of。","full"
"反义疑问句的基本结构遵循“前肯后否，_____”的原则。","前否后肯"
"祈使句的否定形式通常以什么词开头？","Don't。"
"What引导的感叹句，其基本句型是什么（针对可数名词单数）？","What + a/an + adj. + 可数名词单数 + (主语 + 谓语)!"
"How引导的感叹句，其基本句型是什么？","How + adj./adv. + (主语 + 谓语)!"
"宾语从句三要素指的是什么？","连词、语序（陈述语序）、时态。"
"引导宾语从句时，如果从句是一般疑问句，应用哪个连词？","if 或 whether。"
"在定语从句中，当先行词指人并在从句中作主语或宾语时，可用哪些关系代词？","who/that (作主语), who/whom/that (作宾语)。"
"在定语从句中，当先行词指物并在从句中作主语或宾语时，可用哪些关系代词？","which/that。"
"在哪些情况下，定语从句的关系代词只能用that？（“特高序代双”）","先行词为不定代词、被最高级/序数词修饰、或同时指人又指物时。"
"在含有时间或条件状语从句的复合句中，如果主句是将来时，从句应用什么时态？","一般现在时（主将从现）。"
